,video_id,id,comment,likeCount,lastUpdated,replyCount,replies
528,op4mGRTAlEY,pattiniamo10,Only one goal allowed😅 just like Italy in the 2006 world cup,1,2022-12-11T05:10:25Z,0,
529,op4mGRTAlEY,Griffin Mayers,He will always be a winner in are hearts,0,2022-12-11T05:09:08Z,0,
530,op4mGRTAlEY,Another-Learner,Nice work Morocco! It was good seeing humble pie being served to football powerhouses this world cup. It just shows football skills around the world has caught up with South America's and Europe's skill levels which will make the game more intriguing.,1,2022-12-11T05:09:04Z,0,
531,op4mGRTAlEY,Swey Perez,Heartbreaking,0,2022-12-11T05:08:00Z,0,
532,op4mGRTAlEY,ຜາຍ ໄຊ,"i knew it... morocco, yes!",0,2022-12-11T05:07:19Z,0,
533,op4mGRTAlEY,RF K,Goooooooo Morocco 🇲🇦 ♥️ ❤️,0,2022-12-11T05:06:02Z,0,
534,op4mGRTAlEY,Daniel G,"Ronaldo is going out bad. Getting trashed all over social media, the controversy with ManU, being benched and ultimately losing in his final world cup. I think he should call it quits while he's still somewhat on top. Then again there's 200m waiting for him in Saudi Arabia if he decides to choose that route. Though that'd suck, seeing the arguable GOAT playing in such a subpar league.",1,2022-12-11T05:05:37Z,0,
535,op4mGRTAlEY,RF K,First African soccer ⚽️ team to ever make it to the fifa world cup semi final.  Morocco 🇲🇦 will take the world cup trophy 🏆 2022.,0,2022-12-11T05:05:27Z,0,
536,op4mGRTAlEY,Germán Méndez,Football is cruel 💀,0,2022-12-11T05:03:15Z,0,
537,op4mGRTAlEY,Riley Walls,Imagine sitting one of the greatest talents of all time because of an ego.,0,2022-12-11T05:00:54Z,1,"[""Not because of an ego, because he's a shell of himself.""]"
538,op4mGRTAlEY,RAY RAY,American female commentator 🤮that’s why I watch it in Spanish and I don’t even know what they’re saying It’s way more authentic.,0,2022-12-11T05:00:18Z,0,
539,op4mGRTAlEY,El Recopilador,"I feel happy for Morocco, but they will need more balls to face France. Portugal kept coming and coming: it's a miracle they did not score. Morocco needs to strengthen their defense if they want to defeat France. I hope they do defeat France, though. That would be insane. Imagine a final between Morocco and Argentina, or Croacia. Wow. That would be amazing.",1,2022-12-11T04:59:56Z,1,['marocca vs croatia would be a boring match since both team focus heavily on defense']
540,op4mGRTAlEY,Danny Villarreal,Now if only Messi and Argentina would lose everything would be GREAT...,1,2022-12-11T15:46:26Z,0,
541,op4mGRTAlEY,Marco C,"Croatia 1 Morocco 3
Finals",0,2022-12-11T04:56:02Z,0,
542,op4mGRTAlEY,AssaultedFishstick,It would’ve been different if cr7 wasn’t benched,0,2022-12-11T04:55:56Z,0,
543,op4mGRTAlEY,twistedj,That thumnbail pic wild af outta all the pics they could have used.. the medias really out for Ronaldo smh bro don’t deserve the hate he getting he a legend💯,0,2022-12-11T04:55:45Z,0,
544,op4mGRTAlEY,Jay Ghee,Props to Morocco!!! beating good teams . On the other hand I thought they played better without Cristiano?? not a proven factor here,0,2022-12-11T04:55:41Z,0,
545,op4mGRTAlEY,John Durrer,"Every top side keeps making the same mistake, treating Morocco as a bye game. And they end up going bye",1,2022-12-11T04:55:30Z,0,
546,op4mGRTAlEY,Eddie Toruno,MOROCCO WAS THE UNDERDOG!!!!!!PORTUGAL WITH CR7 COULDNT DO NOTHING...YOU GAIN OUR RESPECTS...GREETINGS FROM GUATEMALA!!!!!BROTHERS!!!!!,2,2022-12-11T04:53:44Z,0,
547,op4mGRTAlEY,Eddie Toruno,MOROCCO CAMPIONE DIL MONDO QATAR 2022 GRACIAS AMIGOS DE MARRUECOS BEAT EVERYBODY   I DONT CARE ANYMORE WHO LOSES AGAINST MOROCCO !!!!SURPRISES ALL PLEASE..WE NEED A BRAND NEW CHAMPION!!!!IM YOUR BRAND NEW FAN VAMOS VAMOS...GO..GO..GOOOOOOOOOOOLLLLLLLLLLL!!!!!,0,2022-12-11T04:50:58Z,0,
548,op4mGRTAlEY,Joe Riv,"The world dreaming about Argentina vs Portugal in the finals…

Morocco: “Not in this life😈”",1,2022-12-11T04:51:40Z,0,
549,op4mGRTAlEY,wolf little lion,Morocco haciendo lo que Mexico nunca,1,2022-12-11T04:50:19Z,0,
550,op4mGRTAlEY,Mysterious,Who wants Morrocco to beat France and go to finals?,3,2022-12-11T04:49:59Z,0,
